品目	紙名	発行日	年	見出し	備考
コメ	朝日	2012-12-13	2012	福島などのコメ１８袋、放射線量基準値超え ／福島県	福島中会・１地方
コメ	朝日	2012-12-12	2012	試験田のコメ、放射性セシウム基準以下 楢葉町長が公表 ／福島県	福島中会・１地方
コメ	朝日	2012-11-27	2012	旧下川崎のコメ、基準値超え２袋 県発表 ／福島県	福島全県・２地方
コメ	朝日	2012-11-23	2012	コメ全袋検査で基準超セシウム 川俣町などで収穫 ／福島県	福島中会・１地方
コメ	朝日	2012-11-15	2012	三春のコメ、３６０ベクレルを検出 今年の最大値 ／福島県	福島中会・１地方
コメ	朝日	2012-11-11	2012	（現場から ふくしまを歩く）福島のコメどう売られどう評価 流通追い各地へ／福島県	福島中会・１地方／写真図表有／連載
コメ	朝日	2012-11-08	2012	コメ９袋から基準超セシウム 旧福島市と旧松川町 ／福島県	福島中会・１地方
コメ	朝日	2012-11-07	2012	コメ１７袋から基準超セシウム 福島市・旧水原村 ／福島県	福島中会・１地方
コメ	朝日	2012-11-02	2012	コメ６袋から１１０ベクレル 福島市南部の旧平田村産 ／福島県	福島中会・１地方
コメ	朝日	2012-10-30	2012	（農家と放射能 闘いの一年：１１）結果分からぬコメ検査 ／福島県	福島中会・１地方／写真図表有／連載
コメ	朝日	2012-10-30	2012	福島・須賀川のコメ、出荷停止を解除	３社会（全国面）
コメ	朝日	2012-10-26	2012	基準超え地域のコメを出荷停止 政府、福島知事に指示	３社会（全国面）
コメ	朝日	2012-10-25	2012	福島のコメから基準超セシウム	３社会（全国面）
コメ	朝日	2012-10-06	2012	基準超コメ検出、袋の異物原因か 県の全袋検査 ／福島県	福島中会・１地方
コメ	朝日	2012-10-03	2012	コメの作柄概況、「やや良」に修正 会津と浜通り ／福島県	福島全県・２地方
コメ	朝日	2012-09-23	2012	（声）懐かしい福島のコメ、楽しみ	オピニオン２（投書欄）
コメ	朝日	2012-09-21	2012	田んぼアート見ごろ 三春町、コメ７種類使い ／福島県	福島全県・２地方／写真図表有
コメ	朝日	2012-09-03	2012	（防災 復興）「福島産」の名にかけて 信頼のため、コメ全袋検査	４社会（全国面）／写真図表有／連載
コメ	朝日	2012-08-28	2012	川の向こうはコメ作付けを制限 福島	５総合（全国面）／写真図表有
コメ	朝日	2012-08-26	2012	コメ全袋検査スタート「安心・安全届けたい」 セシウム検出下限未満に ／福島県	福島中会・１地方／写真図表有
コメ	朝日	2012-08-09	2012	一時的に６０億円、県が立て替えへ コメ全袋検査費 ／福島県	福島全県・２地方
コメ	朝日	2012-07-27	2012	管理計画認めてコメ出荷を解除 １０市町村農家対象 ／福島県	福島全県・１地方
コメ	朝日	2012-07-20	2012	コメ作り再開、アヒルに託す 広野の新妻さん、２年ぶり無農薬米作付け ／福島県	福島全県・２地方／写真図表有
コメ	朝日	2012-05-29	2012	コメ全袋検査へ機器選定説明会 郡山で農家など集め ／福島県	福島中会・１地方
コメ	朝日	2012-05-28	2012	コメ作り見合わせた相馬・玉野の全農地、放射線量測定へ 東農大チーム ／福島県	福島中会・１地方
コメ	朝日	2012-05-22	2012	福島産のコメを長野産に偽装 卸業者に改善指導	夕刊２社会（全国面）
コメ	朝日	2012-05-21	2012	故郷思いコメ作り 双葉から避難の農家、埼玉で ／福島県	福島中会・１地方／写真図表有
コメ	朝日	2012-05-08	2012	農林水産物対策、コメ検査支援も 県やＪＡが協議会 ／福島県	福島全県・２地方／写真図表有
